id,category,file,speaker,condition_or_trigger,text
hud-hold-btn,HUD (card),src/battle.ts,UI,card actions,"📌 HOLD  /  📌 RELEASE"
hud-ap-bonus,HUD,src/battle.ts,UI,spare AP,"⚡{n} left → +{n} card(s) next turn"
hud-you,HUD (static),index.html,UI,combat,"YOU"
hud-foe,HUD (static),index.html,UI,combat,"FOE"
hud-foe-plans,HUD (static),index.html,UI,intent label,"FOE PLANS"
hud-ap,HUD (static),index.html,UI,energy label,"AP"
hud-draw,HUD (static),index.html,UI,deck info,"DRAW"
hud-disc,HUD (static),index.html,UI,deck info,"DISC"
hud-end-turn,HUD (static),index.html,UI,end turn button,"END TURN"
menu-title,Title menu,src/title.ts,UI,main menu,"MELD TO ALL HELD"
menu-header,Title menu,src/title.ts,UI,main menu,"RETURN TO THE MELD"
menu-begin,Title menu,src/title.ts,UI,main menu,"BEGIN JOURNEY"
menu-collection,Title menu,src/title.ts,UI,main menu,"COLLECTION"
menu-howtoplay,Title menu,src/title.ts,UI,main menu,"HOW TO PLAY"
menu-settings,Title menu,src/title.ts,UI,main menu,"SETTINGS"
settings-title,Settings,src/title.ts,UI,settings menu,"SETTINGS"
settings-sfx,Settings,src/title.ts,UI,settings menu,"SFX Volume"
settings-music,Settings,src/title.ts,UI,settings menu,"Music Volume"
htp-title,How To Play,src/title.ts,UI,how-to-play menu,"HOW TO PLAY"
htp-cards-hd,How To Play,src/title.ts,UI,cards section,"CARDS"
htp-cards-1,How To Play,src/title.ts,UI,cards section,"Play cards to attack, defend, or heal."
htp-cards-2,How To Play,src/title.ts,UI,cards section,"Each costs 1–2 AP. You draw 3 AP of intent a turn."
htp-cards-3,How To Play,src/title.ts,UI,cards section,"Spare AP becomes bonus draws next turn — never waste it."
htp-melding-hd,How To Play,src/title.ts,UI,melding section,"MELDING"
htp-melding-1,How To Play,src/title.ts,UI,melding section,"Two of a card → MELD → Tier II 2.2×"
htp-melding-2,How To Play,src/title.ts,UI,melding section,"Two Tier IIs → Tier III 4.5×"
htp-melding-3,How To Play,src/title.ts,UI,melding section,"Melded cards discard, then cycle back to your hand."
htp-journey-hd,How To Play,src/title.ts,UI,journey section,"THE JOURNEY"
htp-journey-1,How To Play,src/title.ts,UI,journey section,"Three runs. Three marks each. Then your Echo."
htp-journey-2,How To Play,src/title.ts,UI,journey section,"Between runs: deepen your form, or absorb another."
htp-journey-goal,How To Play,src/title.ts,UI,journey section,"Return to the Meld. That is the goal."
loadout-title,Forge Deck,src/title.ts,UI,before a run,"FORGE YOUR DECK"
loadout-subtitle,Forge Deck,src/title.ts,UI,before a run,"{CLASS} · ⬡ {n} frags · {n} cards"
loadout-fight,Forge Deck,src/title.ts,UI,before a run,"FIGHT →"
enemyselect-title,Enemy Select (free/debug),src/title.ts,UI,free mode,"CHOOSE YOUR OPPONENT"
enemyselect-flavor-1,Enemy Select (free/debug),src/title.ts,UI,tier 1,"Fast and ferocious. Don't underestimate the claws."
enemyselect-flavor-2,Enemy Select (free/debug),src/title.ts,UI,tier 2,"Hits hard and guards when you'd least expect it."
enemyselect-flavor-3,Enemy Select (free/debug),src/title.ts,UI,tier 3,"Ancient. Poisonous. Relentless. Your Tier IIIs must shine."
pause-eyebrow,Pause Menu,index.html,UI,paused,"PAUSED"
pause-resume,Pause Menu,index.html,UI,paused,"RESUME"
pause-sfx,Pause Menu,index.html,UI,paused,"SFX"
pause-music,Pause Menu,index.html,UI,paused,"MUSIC"
pause-return,Pause Menu,index.html,UI,paused,"RETURN TO TITLE"
enemy-names,Enemy Names (intent / HUD),src/data/encounters.ts,UI,opponents,"Whelp; Wisp; Brute; Husk; CORE; Bloom; Warden; Zealot; Rampart; Phalanx; Wellspring; Thicket; Sentinel; Bastion; Maw; Nullity; Colossus; Leviathan; YOUR ECHO (the Mirror)"
enemy-moves-immune,Enemy Move Names (intent chip),src/data/encounters.ts,UI,Purifier (immune),"Whelp: Fray / Lash · Wisp: Flicker / Veil · Warden: Cull / Purge / Ward · Zealot: Rebuke / Sear · Sentinel: Cleave / Smite / Bulwark · Nullity: Erase / Unmake / Mend"
enemy-moves-armored,Enemy Move Names (intent chip),src/data/encounters.ts,UI,Bulwark (armored),"Brute: Crash / Rend / Coalesce · Husk: Pound / Sweep · Rampart: Slam / Maul / Harden · Phalanx: Bash / Batter / Wall · Bastion: Sunder / Crush / Seal · Colossus: Stomp / Quake / Fortify"
enemy-moves-regen,Enemy Move Names (intent chip),src/data/encounters.ts,UI,Renewer (regen),"CORE: Compress / Unravel / Crystallize / Draw · Bloom: Spore / Wilt / Flourish · Wellspring: Surge / Corrode / Renew · Thicket: Whip / Blight / Root · Maw: Devour / Rupture / Gorge · Leviathan: Drown / Maelstrom / Swell"
enemy-moves-mirror,Enemy Move Names (intent chip),src/data/encounters.ts,UI,the Echo (scales w/ power),"Mage echo: Echo Flare / Echo Inferno / Echo Ignite · Rogue echo: Echo Slash / Echo Bleed / Echo Envenom · Warrior echo: Echo Strike / Echo Cleave / Echo Guard"
card-names-strike,Card Names (variants),src/data/cards.ts,UI,Strike,"T1: Jab / Puncture · T2: Heavy / Rend · T3: Cleave / Shatter"
card-names-slash,Card Names (variants),src/data/cards.ts,UI,Slash,"T1: Slash / Nick · T2: Gash / Lacerate · T3: Bleed / Envenom"
card-names-fireball,Card Names (variants),src/data/cards.ts,UI,Fireball,"T1: Flare / Ember · T2: Inferno / Scorch · T3: Conflagration / Ignition"
card-names-overload,Card Names (variants),src/data/cards.ts,UI,Overload,"T1: Surge / Burst · T2: Discharge / Spark · T3: Meltdown / Overcharge"
card-names-absorb,Card Names (variants),src/data/cards.ts,UI,Absorb (defend),"T1: Guard / Brace · T2: Reinforce / Fortress · T3: Bastion / Aegis"
card-names-ward,Card Names (variants),src/data/cards.ts,UI,Ward (defend),"T1: Wither / Veil · T2: Wane / Dampen · T3: Suppress / Eclipse"
card-names-borrowed,Card Names (borrowed via Absorb),src/data/cards.ts,UI,off-class,"Borrowed Edge: Edge / Hack / Sunder · Borrowed Spark: Spark / Blaze / Pyre · Borrowed Thorn: Thorn / Barb / Sting"
